Depth,Age,dD
338.25,11025,-394.3
338.8,11044.5,-391.4
339.35,11063.9,-387.7
339.9,11083.3,-395.2
340.45,11103.6,-400.3
341,11123.8,-393.3
341.55,11144,-390
342.1,11162.8,-390.9
342.65,11181.5,-387.4
343.2,11200.3,-389.7
343.75,11220,-398
344.3,11239.6,-396.1
344.85,11259.3,-392
345.4,11280,-397.7
345.95,11300.8,-398.9
346.5,11321.5,-394.7
347.05,11340.2,-386.8
347.6,11359,-385.8
348.15,11377.7,-387.9
348.7,11397.3,-390.7
349.25,11416.8,-402
349.8,11436.4,-392.6
350.35,11455.6,-390.8
350.9,11474.9,-394.6
351.45,11494.2,-381
352,11513.2,-382.1
352.55,11532.3,-399.5
353.1,11551.3,-393.5
353.65,11571.9,-398.4
354.2,11592.4,-393.4
354.75,11612.9,-390.9
355.3,11631.5,-386.1
355.85,11650.1,-387.8
356.4,11668.7,-383.8
356.95,11687.4,-386.9
357.5,11706,-393
358.05,11724.6,-396.6
358.6,11745.4,-394.1
359.15,11766.1,-395.5
359.7,11786.8,-395.4
360.25,11806.8,-389.6
360.8,11826.8,-394.8
361.35,11846.9,-388.3
361.9,11866.4,-394.8
362.45,11885.9,-387.9
363,11905.5,-396.1
363.55,11925.7,-391.3
364.1,11945.9,-393.6
364.65,11966.2,-387.8
365.2,11987.3,-396.1
365.75,12008.5,-403.2
366.3,12029.7,-399.4
366.85,12052.4,-400.8
367.4,12075.2,-399.4
367.95,12097.9,-400.9
368.5,12121.2,-399.2
369.05,12144.5,-404.9
369.6,12167.7,-404
370.15,12190.9,-398.2
370.7,12214,-400
371.25,12237.2,-399.8
371.8,12261.4,-406.2
372.35,12285.6,-403.5
372.9,12309.8,-405.5
373.45,12335.8,-414.8
374,12361.9,-406.2
374.55,12387.9,-405.8
375.1,12413.1,-410.9
375.65,12438.2,-403.7
376.2,12463.4,-400.6
376.75,12488.3,-409.6
377.3,12513.1,-401.2
377.85,12538,-413.3
378.4,12565.7,-414.3
378.95,12593.4,-408.8
379.5,12621.1,-417.4
380.05,12648.1,-406.8
380.6,12675.1,-404.3
381.15,12702.1,-412.4
381.7,12729.8,-412.6
382.25,12757.4,-410.9
382.8,12785.1,-420.8
383.35,12815.8,-417.2
383.9,12846.6,-418.8
384.45,12877.4,-415.6
385,12906.9,-418.6
385.55,12936.3,-410.9
386.1,12965.8,-413.7
386.65,12995.5,-412.7
387.2,13025.2,-419.3
387.75,13054.9,-420.8
388.3,13084.5,-412.1
388.85,13114.1,-416
389.4,13143.7,-408.8
389.95,13173,-413.9
390.5,13202.3,-416.4
391.05,13231.6,-417.7
391.6,13261.1,-414.9
392.15,13290.6,-410.4
392.7,13320,-411.6
393.25,13349.8,-415
393.8,13379.6,-418.4
394.35,13409.4,-415.5
394.9,13438.2,-412.9
395.45,13467.1,-408
396,13495.9,-410.8
396.55,13524.2,-414.8
397.1,13552.5,-408.7
397.65,13580.9,-408.5
